Education,Marital,Sex,Age,Race,Veteran,Pro_Cert,Groom_Dis,Hear_Dis,Vis_Dis,Err_Dis,Climb_Dis,Concen_Dis,Citizenship,HrsWeek,Industry,WorkClass,Salary
46,1,2,13,1,2,2,2,2,2,2,2,2,1,30,13,3,3
46,1,1,14,1,2,2,2,2,1,2,2,2,1,50,10,5,1
43,1,1,13,1,2,1,2,2,2,2,2,2,1,44,4,4,1
40,5,2,12,1,2,1,2,2,2,2,2,2,1,40,10,4,2
39,5,1,14,1,2,1,2,2,2,2,2,2,1,32,6,4,3
43,1,1,13,1,2,1,2,2,2,2,2,2,1,40,10,2,3
40,7,2,4,1,2,1,2,2,2,2,2,2,1,40,10,4,5
40,5,2,10,1,2,2,2,2,2,2,2,2,1,39,4,4,4
39,1,1,14,1,2,2,2,2,2,2,2,2,1,48,4,4,4
39,1,2,13,1,2,2,2,2,2,2,2,2,1,40,4,4,4
39,7,1,6,1,2,2,2,2,2,2,2,2,1,32,5,4,4
42,1,2,6,1,2,2,2,2,2,2,2,2,1,40,5,4,5
39,5,1,15,3,2,2,2,2,2,2,2,2,1,53,4,4,2
35,7,2,11,1,2,2,2,2,2,2,2,2,1,40,10,5,3
40,5,1,14,1,1,1,2,2,2,2,2,2,1,28,5,4,2
39,5,2,9,1,2,1,2,2,2,2,2,2,1,36,10,4,3
39,4,2,10,1,2,2,2,2,2,2,2,2,1,44,4,4,3
39,1,1,10,1,2,2,2,2,2,2,2,2,1,20,3,6,2
40,7,1,12,1,1,2,2,2,2,2,1,2,1,28,10,1,2
40,7,1,4,1,2,2,2,2,2,2,2,2,1,20,3,4,5
39,1,2,12,1,2,2,1,2,2,2,2,2,1,26,5,4,5
40,7,1,8,1,2,2,2,2,2,2,2,2,1,16,12,4,4
42,7,2,8,1,2,1,2,2,2,2,2,2,1,24,10,5,3
39,7,1,8,1,2,2,2,2,2,2,2,2,1,38,10,5,3
44,1,1,8,1,2,2,2,2,2,2,2,2,1,60,4,4,1
42,5,2,14,1,2,1,2,2,2,2,2,2,1,40,9,4,3
39,1,1,7,1,1,1,2,2,2,2,2,2,1,30,3,4,2
41,1,1,10,1,2,1,2,2,2,2,2,2,1,60,6,4,1
39,1,2,10,1,2,2,2,2,2,2,2,2,1,40,10,5,3
40,7,1,12,1,2,2,2,2,2,2,2,2,1,42,7,4,4
39,7,1,6,1,2,2,2,2,2,2,2,2,1,40,5,4,4
42,5,2,7,1,2,1,2,2,2,2,2,2,1,12,10,5,3
43,5,2,12,1,2,1,2,2,2,2,2,2,1,40,10,5,1
42,7,1,8,1,2,1,2,2,2,2,2,2,1,44,13,3,2
42,1,1,15,1,2,2,2,2,2,2,2,2,1,45,5,4,1
44,7,2,11,1,2,1,2,2,2,2,2,2,1,50,10,3,2
43,7,1,7,1,2,2,2,2,2,2,2,2,1,40,13,2,1
42,1,2,12,1,2,1,2,2,2,2,2,2,1,16,4,4,4
39,1,1,12,1,2,1,2,2,2,2,2,2,1,50,3,6,3
43,1,2,12,1,2,2,2,2,2,2,2,2,1,40,6,4,1
39,1,1,9,1,2,2,2,2,2,2,2,2,1,45,9,4,2
43,1,2,7,1,2,1,2,2,2,2,2,2,1,32,10,4,3
42,1,1,12,2,1,1,2,2,2,2,2,2,1,40,1,6,3
40,1,2,13,1,2,1,2,2,2,2,2,2,1,40,13,2,3
40,5,1,8,1,1,1,2,2,2,2,2,1,1,35,10,4,5
43,1,1,7,1,2,2,2,2,2,2,2,2,1,52,7,5,2
39,1,2,12,1,2,1,2,2,2,2,2,2,1,40,10,5,3
39,1,2,13,1,2,1,2,2,2,2,2,2,1,40,10,5,2
39,1,1,14,1,2,2,2,2,2,2,2,2,1,40,5,6,2
45,7,2,6,1,2,1,2,2,2,2,2,2,1,40,13,2,2
43,7,1,7,1,2,2,2,2,2,2,2,2,1,50,9,5,3
40,7,1,6,1,2,2,2,2,2,2,2,2,1,40,9,4,4
39,1,1,12,1,2,1,2,2,2,2,2,2,1,40,10,3,3
43,1,2,11,1,2,1,2,2,2,2,2,2,1,40,12,5,3
43,1,1,9,1,1,2,2,2,2,2,2,2,1,55,6,4,1
46,1,2,14,1,2,1,2,2,2,2,2,2,1,50,10,5,2
43,1,2,8,1,2,2,2,2,2,2,2,2,1,40,10,5,3
40,1,1,9,1,2,2,2,2,2,2,2,2,1,58,8,4,1
42,5,2,10,1,2,2,2,2,2,2,2,2,1,1,12,5,2
39,7,1,6,1,2,2,2,2,2,2,2,2,1,45,5,4,3
39,7,2,6,1,2,2,2,2,2,2,2,2,1,40,10,5,4
40,1,1,15,1,2,2,2,2,2,2,2,2,1,25,10,4,5
43,5,1,9,1,2,1,2,2,2,2,2,2,1,40,8,5,2
40,5,2,9,1,2,2,2,2,2,2,2,2,1,40,8,4,3
37,7,1,3,1,2,2,2,2,2,2,2,2,1,32,11,4,5
44,3,2,8,1,2,1,2,2,2,2,2,2,1,40,10,2,3
43,3,1,9,1,2,1,2,2,2,2,2,2,1,40,9,4,3
39,1,2,11,1,2,1,2,2,2,2,1,2,1,32,10,4,4
39,1,1,13,1,2,2,2,2,2,2,2,2,1,40,4,4,3
44,1,2,9,1,2,1,2,2,2,2,2,2,1,40,10,1,1
44,1,1,9,1,1,2,2,2,2,2,2,2,1,40,4,4,1
39,5,1,15,1,2,2,2,2,2,2,2,2,1,20,11,4,5
42,4,2,12,1,2,1,2,2,2,2,2,2,1,32,10,4,3
40,1,1,9,1,2,2,2,2,2,2,2,2,1,40,9,4,1
40,7,2,5,1,2,2,2,2,2,2,2,2,1,16,5,4,5
40,5,1,5,1,2,2,2,2,2,2,2,2,1,40,10,2,5
42,1,2,13,1,2,2,2,2,2,2,2,2,1,15,7,4,1
43,1,1,9,1,2,1,2,2,2,2,2,2,1,30,10,2,5
40,1,2,12,1,2,1,2,2,2,2,2,2,1,32,10,2,4
43,1,1,17,1,2,2,2,2,2,2,2,2,1,17,5,4,5
39,1,1,8,1,2,2,2,2,2,2,2,2,1,40,11,4,4
39,1,1,8,1,2,2,2,2,2,2,2,2,1,39,4,4,3
39,1,2,8,1,2,1,2,2,2,2,2,2,1,42,10,5,3
43,1,2,6,1,2,1,2,2,2,2,2,2,1,16,10,5,1
39,1,1,7,1,2,2,2,2,2,2,2,2,1,30,10,3,4
46,1,1,7,1,2,1,2,2,2,2,2,2,1,60,10,5,2
39,1,1,9,1,2,1,2,2,2,2,2,2,1,42,1,2,1
46,1,2,9,1,2,1,2,2,2,2,2,2,1,45,10,4,1
42,1,2,9,1,2,2,2,2,2,2,2,2,1,40,5,4,3
39,1,1,8,1,2,2,2,2,2,2,2,2,1,40,3,4,2
39,4,2,17,1,2,2,2,1,2,2,2,2,1,40,5,4,3
43,4,2,11,1,2,1,2,2,2,2,2,2,1,35,10,2,3
46,1,1,8,1,2,1,2,2,2,2,2,2,1,44,10,5,1
39,1,1,11,1,1,1,2,2,2,2,2,2,1,40,10,5,1
43,1,2,11,3,2,1,2,2,2,2,2,2,1,40,13,3,2
39,7,2,8,1,2,1,2,2,2,2,2,2,1,40,10,4,4
43,1,2,9,1,2,2,2,2,2,2,2,2,1,18,5,4,5
43,1,1,10,1,1,2,2,2,2,2,2,2,1,40,4,4,4
43,1,2,7,1,2,2,2,2,2,2,2,2,1,10,10,4,5
46,1,1,8,1,2,1,2,2,2,2,2,2,1,40,10,6,1
38,7,2,3,1,2,1,2,2,2,2,2,2,1,24,5,4,5
39,5,2,10,1,2,2,2,2,2,2,2,2,1,40,5,4,4
39,1,2,10,1,2,1,2,2,2,2,2,2,1,80,10,4,3
39,1,1,9,1,2,1,2,2,2,2,2,2,1,40,12,6,3
39,7,1,7,1,2,2,2,2,2,2,2,2,1,52,1,4,2
40,7,2,7,1,2,2,2,2,2,2,2,2,1,2,9,4,5
42,5,1,10,1,2,2,2,2,2,2,2,2,1,40,4,4,4
43,1,1,7,1,2,1,2,2,2,2,2,2,1,40,10,5,3
39,1,2,6,1,2,2,2,2,2,2,2,2,1,40,4,4,3
39,5,1,9,1,2,1,2,2,2,2,2,2,1,40,3,4,4
43,7,2,7,1,2,1,2,2,2,2,2,2,1,36,10,5,2
39,1,2,12,1,2,2,2,2,2,2,2,2,1,40,12,5,1
39,1,1,12,1,2,2,2,1,2,2,2,2,1,40,4,4,3
39,7,2,14,1,2,2,2,2,2,2,2,2,1,15,9,4,5
39,7,2,5,1,2,2,2,2,2,2,2,2,1,32,9,4,5
40,7,2,9,1,2,2,2,2,2,2,2,2,1,30,10,3,4
42,4,2,14,1,2,2,2,2,2,2,2,2,1,24,5,4,5
39,7,1,9,1,2,2,2,2,2,2,2,2,1,1,4,4,4
42,7,2,9,1,2,2,2,2,2,2,2,2,1,32,10,5,4
40,7,2,4,1,2,2,2,2,2,2,2,2,1,16,11,4,5
43,1,1,9,1,2,2,2,2,2,2,2,2,1,40,9,4,1
40,7,1,6,2,2,1,2,2,2,2,2,2,5,95,8,4,2
42,7,1,5,1,2,2,2,2,2,2,2,2,1,45,5,4,2
43,7,2,11,1,2,2,2,2,2,1,1,1,1,15,12,5,5
43,7,2,7,1,2,1,2,2,2,2,2,2,1,35,11,4,3
42,1,1,10,1,2,1,2,2,2,2,2,2,1,40,10,5,3
44,1,2,6,1,2,1,2,2,2,2,2,2,1,40,10,4,5
43,1,1,7,1,2,2,2,2,2,2,2,2,1,40,8,4,2
42,1,1,6,1,2,2,2,2,2,2,2,2,1,50,8,4,4
42,1,2,6,1,2,2,2,2,2,2,2,2,1,40,8,4,4
39,7,1,7,1,2,2,2,2,2,2,2,2,1,50,5,4,4
39,1,1,8,1,1,1,2,2,2,2,2,2,1,50,3,4,4
39,1,2,8,1,2,2,2,2,2,2,2,2,1,40,10,4,3
42,7,2,6,2,2,2,2,2,2,2,2,2,1,80,10,5,1
42,5,2,15,1,2,2,2,2,2,2,2,2,1,40,5,4,4
38,7,2,9,1,2,2,2,2,2,2,2,2,1,14,9,4,5
43,7,2,13,1,2,1,2,2,2,2,2,2,1,40,10,5,2
43,7,2,6,1,2,2,2,2,2,2,2,2,1,40,11,4,4
43,7,2,5,6,2,1,2,2,2,2,2,2,1,41,10,4,1
43,7,1,6,1,2,1,2,2,2,2,2,2,1,42,10,4,2
43,2,2,8,1,2,2,2,2,2,2,2,2,1,40,9,4,2
44,1,1,11,1,1,2,2,2,2,2,2,2,1,40,10,5,2
44,5,2,17,1,2,2,2,2,2,2,2,2,1,40,10,4,3
44,1,2,7,1,2,1,2,2,2,2,2,2,1,40,10,3,2
39,7,2,10,1,2,2,2,2,2,2,2,2,5,36,13,3,4
46,5,2,15,1,2,2,2,2,2,2,2,2,1,50,10,5,1
39,1,1,13,1,2,2,2,2,2,2,2,2,1,40,6,1,2
39,1,2,10,1,2,2,2,2,2,2,2,2,1,40,1,6,2
39,1,1,10,1,2,2,2,2,2,2,2,2,1,45,1,6,1
39,3,1,14,2,2,2,2,2,2,2,2,2,4,40,4,4,2
39,7,1,5,1,2,2,2,2,2,2,2,2,1,40,11,4,2
36,1,1,11,1,2,2,2,2,2,2,2,2,1,40,1,6,1
40,1,2,8,2,2,2,2,2,2,2,2,2,4,40,9,6,4
43,1,2,11,1,2,1,2,2,2,2,2,2,1,40,10,3,2
39,7,1,5,1,2,2,2,2,2,2,2,2,1,16,5,4,5
39,7,2,4,1,2,2,2,2,2,2,2,2,1,8,11,4,5
43,1,1,9,1,2,1,2,2,2,2,2,2,1,40,8,4,1
43,1,2,8,1,2,1,2,2,2,2,2,2,1,40,8,4,1
39,5,1,10,1,2,2,2,2,2,2,2,2,1,24,8,4,3
44,7,2,6,1,2,1,2,2,2,2,2,2,1,42,12,5,2
43,7,2,6,1,2,1,2,2,2,2,2,2,1,36,10,4,2
43,1,2,14,1,2,2,2,2,2,2,2,2,1,40,5,4,1
42,1,2,8,1,2,1,2,2,2,2,2,2,1,30,10,4,5
42,1,1,8,1,2,1,2,2,2,2,2,2,1,32,5,4,4
39,1,1,9,1,2,1,2,2,2,2,2,2,1,40,5,4,3
46,1,1,7,1,2,1,2,2,2,2,2,2,1,41,5,4,1
46,1,2,7,1,2,1,2,2,2,2,2,2,1,8,5,4,4
39,1,2,14,1,2,2,2,2,2,2,2,2,1,36,10,4,3
43,1,2,9,1,2,2,2,2,2,2,2,2,1,12,12,5,5
44,1,1,9,1,1,2,2,2,1,2,2,1,1,55,4,4,1
43,1,1,15,1,2,1,2,2,2,2,2,2,1,60,12,6,1
43,1,2,16,1,2,1,2,2,2,2,2,2,1,24,12,4,4
44,1,1,8,1,2,2,2,2,2,2,2,2,1,45,5,4,1
43,1,1,10,1,2,2,2,2,2,2,2,2,1,40,8,4,1
43,1,2,9,1,2,1,2,2,2,2,2,2,1,24,10,4,2
43,1,2,9,1,2,2,2,2,2,2,2,2,1,40,13,1,1
43,1,1,10,1,1,2,2,2,2,2,2,2,1,40,13,1,1
43,7,1,5,1,2,2,2,2,2,2,2,2,1,40,10,4,2
43,7,1,6,1,2,2,2,2,2,2,2,2,1,40,10,4,2
43,7,1,5,1,2,2,2,2,2,2,2,2,1,40,10,4,2
44,5,2,8,1,2,1,2,2,2,2,2,2,1,40,9,4,1
43,1,2,10,1,2,2,2,2,2,2,2,2,1,25,5,7,5
39,7,1,15,1,1,2,2,2,2,2,2,2,1,20,5,4,5
40,1,2,12,1,2,2,2,2,2,2,2,2,1,36,10,4,4
39,1,1,13,1,1,2,2,2,2,2,2,2,1,40,4,4,2
41,1,1,9,1,2,2,2,2,2,2,2,2,1,40,4,4,1
44,5,2,6,1,2,2,2,2,2,2,2,2,1,40,10,5,2
43,5,2,7,1,2,2,2,2,2,2,2,2,1,40,10,5,2
40,1,1,13,7,1,1,2,2,2,2,2,2,1,65,6,4,1
43,1,1,8,1,2,1,2,2,2,2,2,1,1,44,10,4,2
43,1,1,8,1,2,1,2,1,2,2,2,2,1,40,10,4,1
42,5,2,9,1,2,1,2,2,2,2,2,2,1,40,8,4,4
43,7,1,5,1,2,2,2,2,2,2,2,2,1,58,9,4,3
43,7,2,5,1,2,2,2,2,2,2,2,2,1,40,5,5,4
40,1,1,14,1,2,2,2,2,2,2,2,2,1,40,12,3,3
41,1,2,13,1,2,1,2,2,2,2,2,2,1,39,10,4,1
39,1,1,10,1,2,2,2,2,2,2,2,2,1,40,2,4,3
43,7,1,6,1,2,1,2,2,2,2,2,2,1,84,1,4,2
44,7,2,6,1,2,2,2,2,2,2,2,2,1,40,7,4,1
43,1,1,12,1,2,2,2,2,2,2,2,2,1,40,8,4,2
36,3,2,12,1,2,2,2,2,2,2,2,2,1,47,10,4,4
43,1,2,12,1,2,2,2,2,2,2,2,2,1,30,8,4,1
43,1,1,7,1,2,2,2,2,2,2,2,2,1,42,3,6,1
43,1,2,14,1,2,1,2,2,2,2,2,2,1,40,5,4,1
37,6,2,14,1,2,2,2,2,2,2,2,2,1,40,10,5,3
43,1,1,8,1,2,1,2,2,2,2,2,2,1,40,13,3,1
43,1,2,8,1,2,1,2,2,2,2,2,2,1,40,8,4,1
40,7,2,9,1,2,1,2,2,2,2,2,2,1,40,12,4,4
44,7,2,16,1,2,1,2,2,2,2,2,2,1,40,10,4,3
43,7,1,6,1,2,1,2,2,2,2,2,2,1,50,1,4,1
44,7,2,6,1,2,2,2,2,2,2,2,2,1,40,10,5,3
44,7,1,6,1,2,2,2,2,2,2,2,2,1,40,10,5,2
42,7,2,11,1,2,2,2,2,2,2,2,2,1,40,10,5,3
44,1,2,12,1,2,2,2,2,2,2,2,2,1,49,10,5,2
39,1,1,13,1,2,2,2,2,2,2,2,2,1,45,3,6,1
40,7,2,7,1,2,2,2,2,2,1,2,1,1,40,3,4,4
43,7,2,6,1,2,2,2,2,2,2,2,2,1,65,9,4,2
44,7,2,6,8,2,1,2,2,2,2,2,2,1,40,10,5,4
44,1,1,14,1,2,1,2,2,2,2,2,2,1,30,8,4,1
45,1,2,11,1,2,1,2,2,2,2,2,2,1,40,9,4,1
39,7,1,3,1,2,2,2,2,2,2,2,2,1,40,5,4,5
42,1,2,11,2,2,1,2,2,2,2,2,2,4,40,10,5,4
44,1,1,12,2,2,1,2,2,2,2,2,2,4,80,13,2,2
40,7,1,5,2,2,2,2,2,2,2,2,2,4,40,10,4,5
39,3,1,11,2,2,1,2,2,2,2,2,2,5,48,10,4,2
39,7,1,9,2,2,1,2,2,2,2,2,2,5,56,9,4,2
44,1,1,9,1,2,1,2,2,2,2,2,2,1,40,10,3,1
44,1,2,10,1,2,1,2,2,2,2,2,2,1,40,10,3,2
43,7,1,7,1,2,1,2,2,2,2,2,2,1,40,7,4,2
43,7,1,7,2,2,2,2,2,2,2,2,2,1,40,13,1,4
39,7,1,6,1,2,2,2,2,2,2,2,2,1,40,11,4,4
39,6,1,6,1,2,2,2,2,2,2,2,2,1,40,5,4,3
39,7,1,6,2,2,2,2,2,2,2,2,2,1,40,10,5,3
43,1,1,10,1,2,2,2,2,2,2,2,2,1,20,5,4,3
39,7,1,6,1,2,2,2,2,2,2,2,2,1,40,9,4,2
43,1,2,10,2,2,2,2,2,2,2,2,2,4,1,10,3,4
43,1,1,12,2,2,2,2,2,2,2,2,2,4,1,5,4,3
39,1,2,11,1,1,2,2,2,2,2,2,2,1,22,5,4,5
42,1,2,11,1,2,2,2,2,2,2,2,2,1,45,4,4,5
43,1,1,11,1,1,2,2,2,2,2,2,2,1,55,4,4,1
